epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2195.67,0.82288,0.38147,0.78805,0.99998,0.75386,0.75,0.62398,0.69063,0.34953,0.77787,0.00828443,0.00828443,0.00828443
43,2231.9,0.76419,0.36942,0.784,0.99988,0.71337,0.70999,0.6053,0.61601,0.32469,0.77404,0.00820525,0.00820525,0.00820525
44,2267.13,0.79013,0.37439,0.78633,0.99998,0.69387,0.69499,0.58903,0.63179,0.33841,0.77291,0.00812468,0.00812468,0.00812468
45,2337.83,0.82055,0.37939,0.78283,0.99998,0.76182,0.76,0.63367,0.68357,0.33466,0.77156,0.00804277,0.00804277,0.00804277
46,2370.29,0.86611,0.39239,0.78337,0.99998,0.69199,0.69,0.59039,0.62347,0.33362,0.76922,0.00795954,0.00795954,0.00795954
47,2404.3,0.79928,0.37321,0.78124,0.99998,0.6614,0.65999,0.57052,0.57687,0.31315,0.7691,0.00787503,0.00787503,0.00787503
48,2436.39,0.69513,0.34095,0.77909,0.99998,0.73223,0.72999,0.6472,0.49712,0.28929,0.76661,0.00778929,0.00778929,0.00778929
49,2560.17,0.65055,0.33034,0.77574,0.99998,0.71465,0.715,0.63432,0.48359,0.28258,0.76526,0.00770234,0.00770234,0.00770234
50,2593.2,0.6509,0.32825,0.77464,0.99998,0.76572,0.76499,0.681,0.48689,0.28443,0.76391,0.00761423,0.00761423,0.00761423
51,2696.08,0.67837,0.33436,0.77518,0.99998,0.76089,0.75999,0.65405,0.58782,0.31082,0.76605,0.007525,0.007525,0.007525
52,2755.47,0.75176,0.35102,0.7782,0.99998,0.70987,0.70999,0.6162,0.56982,0.30759,0.76671,0.00743468,0.00743468,0.00743468
53,2788.19,0.85087,0.37486,0.78445,0.99998,0.75822,0.75999,0.64075,0.65465,0.32805,0.77604,0.00734332,0.00734332,0.00734332
54,2821.32,0.71057,0.34343,0.77896,0.99998,0.75749,0.75999,0.67905,0.47497,0.27963,0.7659,0.00725094,0.00725094,0.00725094
55,2869.42,0.65825,0.32623,0.77574,1,0.73401,0.735,0.65942,0.44507,0.2689,0.76359,0.00715761,0.00715761,0.00715761
56,2924.59,0.63043,0.31539,0.77296,0.99998,0.72077,0.72,0.62562,0.5361,0.28635,0.76225,0.00706335,0.00706335,0.00706335
57,2961.66,0.6436,0.32209,0.77428,1,0.71802,0.72,0.64815,0.46958,0.28154,0.76264,0.0069682,0.0069682,0.0069682
58,2994.54,0.6317,0.31884,0.77385,0.99996,0.76665,0.765,0.68555,0.47608,0.27384,0.76475,0.00687222,0.00687222,0.00687222
59,3032.97,0.60798,0.30905,0.77037,0.99992,0.75186,0.75499,0.68905,0.42207,0.26601,0.76179,0.00677543,0.00677543,0.00677543
60,3066.41,0.61241,0.31038,0.77118,0.99982,0.75715,0.75999,0.68139,0.46139,0.26885,0.76329,0.00667789,0.00667789,0.00667789
61,3097.79,0.62638,0.32145,0.77357,0.99985,0.77694,0.77497,0.70765,0.41834,0.26721,0.76154,0.00657963,0.00657963,0.00657963
62,3453.69,0.67621,0.33634,0.7756,1,0.7642,0.765,0.68164,0.50436,0.29005,0.76603,0.00648071,0.00648071,0.00648071
63,3493.33,0.66316,0.33008,0.77458,1,0.74088,0.745,0.64877,0.55775,0.3046,0.7674,0.00638115,0.00638115,0.00638115
64,3548.99,0.72694,0.34515,0.77887,1,0.70962,0.71,0.6308,0.48717,0.27898,0.76418,0.00628101,0.00628101,0.00628101
